default
看守ヤツメ, Jailer Yatsune
（あは、谷間ではぁはぁしてバカみたいな顔❤\n強いくせにこれだけで堕ちるとかちょろすぎでしょ❤\n魔力相当あるし、精液楽しみ～❤）, (Haha; you've gone stupid for my cleavage.❤ Even though you're pretty strong; it's easy to tempt you just like this.❤ You've got a lot of magical power; I'm looking forward to your semen~.❤ )
こんにちは。正義のマスターくん❤\nうふふ❤ちゃんと休憩時間に会いに来れて偉いねー❤, Hello; Mr. Kind Card Master.❤ Hehehe.❤  I'm glad you came to see me during break time.❤ 
さっきあの女に取り上げられたこ・れ❤\n見たかったんでしょ？チラ❤, You wanted to see what she stopped you from enjoying last time; didn't you?❤ Flick.❤ 
ううぅ・・・❤, Uuuu...❤
あは、ハァハァしちゃって目がこわーい❤\nほら、もっと牢屋に近づいて。\nあっちの見張りのやつにばれないようにしないと。, Aha; you're making such a creepy face.❤ Here; come closer to the cell...\n You have to make sure the guard over there doesn't see us...
おちんちん出してるところ、看守の子に見られたら恥ずかしいもんね❤\nバレずにシコシコできるように、そばまでおいで～❤, It would be embarrassing if the guards caught you with your dick out.❤ Come real close so that you can jerk off without being noticed.❤
怖がらなくてもだいじょうぶだよ❤\nわたしは牢屋の中にいて、きみは外にいるんだから❤, Don't be afraid.❤ You're out there and I'm in here.❤
サキュバスのエロい体を見ながらおちんちんシコシコしても、\nキミは安全❤\nすごいねー、ラッキーだねー、くすくす❤, You're safe if you're just touching yourself while looking at a succubus's sexy body.❤ Aren't you a lucky guy?❤
わたしおなかすいて我慢できないから、\nほら、早く早くぅ❤\nおいしいエナジーちょうだぁい❤, Come on...!❤ I'm so hungry I can barely take it; so hurry up and give me some delicious energy!❤
（はううぅ❤こんなところで触るなんてダメなのに❤\nでもがまんできないっ❤）, (Hah...❤ I know I shouldn't be doing this here...❤ But I can't resist her.❤)
あは、しこしこ気持ちよさそ～❤\n鉄格子に体がつきそうなぐらい近づいて、\nバレないようにシコシコシコ❤谷間をオカズにシコシコシコ❤, Haha; you look like you're feeling good~.❤ You got so close to the bars that you're almost touching them. Keep jerking off to my cleavage; just don't get caught.❤ Stroke; stroke; stroke.❤
揺れてるおっぱいエロいもんね～❤\n一回倒したサキュバスだけど、\n本当はあのときもこうやって気持ちいいのに負けたかったんだよね～❤, I'll shake my chest around.❤ You already beat me once; but with how good you're feeling you probably wanted to lose then too.❤
その距離だと、わたしのいい匂いがするでしょ？\nサキュバスの体って牢屋にいても汚れないから、\nずぅーっと甘くていい匂いがするんだよ❤, You can smell my scent from that distance; can't you? Succubi bodies don't get dirty; even when they're in prison. I smell this sweet and nice all the time.❤
おっぱい揺らして谷間から甘い匂いを飛ばしてあげる❤\n鼻をスンスンしながらシコシコしようね～❤\nきゃはは❤, I'll shake my boobs and let the smell of my cleavage wash over you.❤ Keep jerking off while breathing in my scent~.❤ Hahaha!❤
あう、あああっ・・・❤❤,Oh; oh; oh....❤❤❤
あはは❤しごくのすっごく早くなっちゃうね❤\nサキュバスフェロモンで肺をいっぱいにしながら、\nおちんちんシコシコシコシコ❤, Hahaha!❤ I'll make you cum so fast!❤ Fill your lungs with my succubus pheromones and shoot all the cum from your cock.❤
もうイっちゃいそう？\nいいよ❤早くこの谷間に濃ゆーい精液ちょうだぁい❤\nめんどくさい看守が戻ってくる前に、出して、出して❤, Are you about to cum? Come on.❤ I want you to cum all over my cleavage.❤ Hurry up before that annoying guard comes back.❤
サキュバスにエナジーお貢ぎ❤\nお腹空いてる女の子を助けてぇ❤\nほらカウントダウンしてあげる❤３、２、１、ぜーろ❤❤, Spill your energy for a succubus.❤ Help a hungry girl out.❤ I'll give you a countdown.❤ 3; 2; 1; Zero.❤.❤.❤
あはぁん、おいしい～❤\nずーっとエナジーもらえてなかったから、\n最高の味がする～♪, Ahhh; it's delicious.❤ I haven't been getting enough energy for a while now; so this tastes like the best thing ever~!♪
キミからもっともっと精液吸いたいな～❤\nねぇー、キミが干からびちゃうまで吸ってもいい？\nおねがぁい❤, I wanna drink all the cum from you~.❤ Hey; can I suck you dry? Please?❤
（うう、うう・・・❤僕はなにをしているんだろう・・・❤\nでも、もう一回吸ってほしい・・・❤きもちよくてぇ・・・❤）, (Oh; oh; oh; oh...❤ I don't know what I'm doing...❤ But I want to keep cumming for her...❤ It felt so good...❤)
（あは、またシコリ出した❤ほんとちょろ～い❤\nこのまま吸い殺しちゃってもいいし、\n死ぬ寸前で止めて奴隷にするのもいいな～❤ん？）, (You're trying to cum again.❤ How sweet of you.❤ I can suck you dry like this; or I can stop right before you die and make you my slave~.❤ Hmm?)
ちぇ、またあいつの足音だ。\nざんねんだけど、今日はこれでおしまいだね～❤, Damn; I hear her footsteps again. I'm sorry; but that's all you get for today.❤
あう、ううう・・・❤, Aww; ugh...❤
また別の休憩時間に来てよ。\nそのときはもう一回シコシコさせてあげる❤, Come back during another break. I'll let you jerk off to me again.❤
わたしのおっぱいオカズにしたいでしょ？\nかわいそうなサキュバスに、たくさんご飯をめぐんであげようね❤\n正義のマスターくん❤くすくす❤, Don't you want to cum on my tits again? You should give this poor succubus lots of food.❤ Giggle.❤ Kind and just master.❤
あは、早くわたしでシコシコしたいよねぇ❤\nでも残念、邪魔なやつがいるから今はできないんだぁ❤, Hahaha! You can't wait to jerk off to me again.❤ Too bad you'll have to wait since that warden's around right now.
キミは困ってる女の子を助けてるだけの正義のマスターなのにね、\nそれを邪魔をするなんて、看守のヤツメは悪いマスターだよね❤, You're a kind card master helping a girl in need; and the warden is being mean and stopping you from doing that.❤
あ～あ～、あいつを誰か倒してくれないかな～❤\nそうしたらキミは今すぐシコシコできるのに❤, Oh; if only someone were to get rid of her.❤ Then you could jerk off to me again right away.❤
わたしのおっぱい見ながらいっぱいシコシコ❤シコシコシコ❤\n気持ちいいだろうな～❤くすくす❤, You'd get to stare at my tits the whole time you're jerking off.❤ You'll get to cum so hard.❤ It'll feel incredible.❤ Giggle.❤
(ま、今すぐ脱出しなくても、\nいずれこの街はぐちゃぐちゃになっちゃうんだけどね。\nそのときこのマスターくんも吸い殺しちゃおうっと♪), (Well; even if I can't escape right now; this town will be a mess before too long. I'll make sure to suck this master to death then.♪)
あは。また来てくれたんだ～❤\nわたしがお腹を空かせてるかもって気にしてくれたの？\nやさしい～❤さっすが正義のマスターくん❤, Hahaha! You came back for more.❤ Where you thinking about how hungry I am? How sweet of you~.❤ Kind and just master.❤
おちんちんからエナジー出しやすいように、\n今日もお手伝いしてあげるね～❤\nチラ❤, To make it easier for you to cum; I'll help you out today too.❤ Flick.❤
こんな風においしい精液いっぱいもらえるなら、\n別に牢屋から出なくてもいいかもねー。\n何もしなくてもごちそうがもらえるんだもん❤, If you keep giving me lots of delicious semen like this; I won't even have to get out of jail.❤ I barely have to do anything to get a feast.❤
優しくてバカなマスターくんが、\nいっぱい力の溶けた精液をせっせと貢ぎに来てくれるなんて❤\nあぁーん、わたしって超ラッキーかも❤, I can't believe that my kind and stupid master keeps coming to pay tribute to me. ❤ Ahhh; maybe I'm super lucky.❤
カードを１枚も使わずに、\nこうやっておっぱい揺らしてあげるだけで、エナジー食べ放題❤\nほらほらぁ、フェロモンすんすんしてシコっていいよ～❤, Without using a single card; I just shake my boobs a little and I get all the energy I want.❤ Come on; come on; keep stroking while breathing in my pheromones.❤
あはは❤しごくのすっごく早くなっちゃうね❤\n甘ぁい匂いで脳をまっしろにされながら、\nおちんちんをシコシコシコ❤シコシコシコ❤, Hahaha!❤ I'll make you cum so fast.❤ The sweet smell must be making your mind go blank. I bet it feels as good as sex right now. Stroke; stroke; stroke.❤
頭おかしくなるぐらい気持ちよくて～、\nここが牢屋だとか、相手がサキュバスだとか何も考えられない❤\n精液出したくてそれで頭がいっぱい❤, It feels so good it's driving you crazy~. You can't think about being in joil or being with a succubus.❤ All you can think about is how much you want to cum.❤
もうイっちゃいそうなんでしょ❤いいよ❤\nこの谷間に濃ゆーい精液ちょうだぁい❤\nめんどくさい看守が戻ってくる前に、出して、出して❤, I know you're about to cum.❤ I'm ready for it.❤ I want all that thick cum to spurt into my cleavage.❤ Cum; cum before that annoying warden comes back again.❤
サキュバスにエナジーお貢ぎしようね❤\nほらカウントダウン❤３、２、１、ぜーろ❤❤\nイケ❤出せ❤きゃはは❤, Give this succubus some energy.❤ Here's the countdown.❤ 3; 2; 1; Zero.❤❤ Cum.❤ Hehehe.❤
あはぁん、おいしい～❤\n力がどろどろに溶けてて、すごくいい味❤, Ahhh; it's delicious.❤ Absorbing your power feels so good.❤
あうぅ、はへぇ・・・・❤❤,Ahh; hah...❤.❤.❤
くすくす❤ふにゃふにゃにとろけた顔してる❤\nもうちょっとシャキッとしないと、看守にバレちゃうよ❤, Giggle.❤ You look so weak and relaxed.❤ You need to pull yourself together or the guards will notice.❤
それじゃまたね。あいつがすぐ戻ってくるし。\n今日はここまで。別の休憩時間に来たら、\nそのときはもう一回シコシコさせてあげる❤, The warden will be back soon; so I'll see you later. That's all we can do for today. If you come back during another break time; I'll let you jerk off to me again.❤
サキュバスの体って何回オナニーしても飽きないでしょ？\nかわいそうなサキュバスに、たくさんご飯をめぐんであげようね❤\n正義のマスターくん❤くすくす❤, How many times can you masturbate to a succubus's body without getting tired of it? Make sure to feed this poor succubus lots.❤ Giggle.❤ Kind master.❤ Giggle.❤
うう、犯罪なんてするんじゃなかったぜ。\n冷たい牢屋でまずい飯を食わされて、\n生きた心地がしねえ。, Ugh; I never should've committed a crime. The cell is cold and the food's horrible. I don't want to live like this.
街によっては囚人が幅を利かせて、\n好き放題やってるような牢屋もあるらしいが、\nここはヤツメがビシっと見張ってるから誰も逆らえねえ。, I heard that in some towns; prisoners pretty much run the place. There are prisons where the prisoners are so powerful that they can do whatever they want. Not here though; in this place Yatsume is watching us so closely that no one can stand against her.
糸で縛られて罰を与えられたり、\n従順な囚人にはご褒美とやらが与えられて、\nみんなあいつの言いなりになっちまう。, Rebels are tied up with ropes and punished; while obedient prisoners are given rewards. Everyone is at her mercy.
俺も逆らえなくされちまうんだろうか・・・。\nけっ、そう簡単に看守の下僕なんかになってたまるか。\nここから出るまで俺はおちねえぞ。, I wonder if they'll punish me for disobedience too... I won't become a slave to the guards that easily though. I won't go down without a fight.
ああ、ヤツメさま・・・❤\nううう、俺はどうしちまったんだ。\nあんな女に縛られたって、そんなので気持ちよくなっちまうなんて。, Oh; Ms. Yatsume...❤ What's wrong with me? I can't believe I let that woman tie me up and make me feel so good.
直接エロいことされたわけでもねえ、\nただムチで叩かれて糸に縛り付けられただけだ。\nそれなのに、うう、なんで俺はこんなに・・・。, She didn't even touch me in an erotic way; she just tied me up and whipped me. And yet; I feel so...
あーん、コノハちゃんの弟子くんじゃない。\nお姉さんに会いに来てくれたの？, Ah; your Konoha's disciple. Did you come just to see your big sister?
分かってる。サキュバス化の治療術の特訓に来たのよね。\nでも、そうだとしても会いに来てくれてうれしいわ❤\n牢屋の中って退屈ですもの。,I know; I know you're here to train in the art of curing succubization. Even so; I'm glad you came to see me.❤ It's so boring in jail.
牢屋で待っている間、治療の理論を\nあなたにどうやって教えたら分かりやすいかなぁって\nずっと考えてたのよ。, While I've been waiting in jail; I've been thinking about how I can teach you the theory behind the cure. I wondered about how I could make the theory behind the cure simple enough that you could put it into practice,
先生のまねごとなんて、わたしには恐れ多い気もするけど、\nできる限りかみ砕いて教えてあげるわね。\n分からなければどんどん質問していいわよ。, I may be a bit nervous about the idea of being someone's teacher; but I'll do my best to explain it to you as clearly as I can. If you don't understand; ask as many questions as you'd like.
僕はネクロさんに治療術の理論や魔術の術式について教えてもらった。, Necro taught me about the theories behind healing arts and magic techniques.
まだまだ理論の段階だし、ちょっと不確実なところも多いのよね。\n特にサキュバス化して長い時間が経っている場合、\n完全に治しきれるかどうかは賭けになりそうだわ。, It's still in the theory stage and there're still a lot of uncertainties; especially if it's been a long time since the target was turned into a succubus. It'll be a gamble as to whether they're completely cured.
でも弟子くんが妹をちゃんと助けられるように、\nわたしもしっかり頭を使ってあげる。, I hope you can save your sister. I'll do my best to help you too.
単なる善行とかじゃないのよ。\nわたしも自分の研究が実を結ぶところをこの目で見てみたいの。\nだからお互いに利のある話としてあなたには協力するわ。,
まあ、弟子くんのこと割と気に入ってるっていうのもあるんだけど❤\nそれじゃまたね。時間のあるときに面会に来てくれるとうれしいわ❤,
コノハちゃんの弟子くん、こんにちは。\n牢屋の中って暇だけれど、\nインドア派のわたしからすれば案外悪くないかもしれないわ。,
だってモルゲンで新しく出た最新の研究論文とかを見ていれば、\n刑期なんてすぐ終わりそうなんだもの。\nあ、この本はコノハちゃんが差し入れてくれたのよ。,
・・・・・。,
あん、もちろん反省してるわよ。\n二度と悪人の用心棒なんてやらないわ。\nほんとよ？,
コノハちゃん、弟子くんの手前明るく振舞っていたけれど、\nわたしを見てすごく悲しそうな目をしていたわ。\nそれを見てたら目が覚めちゃった。,
誰かを真剣に悲しませたいわけじゃないの。\nわたしみたいな生きる価値のない人間は、\n悪人にでも頼られたらうれしいけれど、やっぱりそれじゃダメね。,
いつか鉱山の町の人たちにも謝りに行かないとね。\nカードを使って２～３か月タダ働きして、\n盗っちゃった分を償おうと思うわ。,
わたし、使うカードがゾンビとかそういうのでしょう？\nわりと気味悪がられることが多くて、\n特に子供のころなんて同い年の子は誰も寄って来なかったわ。,
ちょうどそのころ、疫病が流行ったことがあってね。\nその原因がわたしじゃないかなんて変な噂が流れたりして、\nいろいろとしんどかったなぁ。,
だってわたしのお父さんとお母さんも疫病で死んでるのよ？\nそれなのにそんなこと言われて、\n毎日孤児院で泣いていたの。,
でもコノハちゃんはね。そんなわたしを守ってくれた。\nまっすぐにわたしの手を取って、助けてくれた。\nかっこよかったなぁ。,
あなたの師匠は昔からとてもいい子で、面倒見がよかったのよ。\nあなたのこともきっと\nサキュバスに壊された村で見つけて放っておけなかったのね。,
コノハちゃんがＣランクだったころだから、\nまだ15~16ぐらいのころかしら。そんなときに\n男の子一人拾ってわたしが面倒を見る！なんて大見得切っちゃって。,
立派過ぎてちょっとびっくりしちゃうわよね。\nわたしみたいな日陰者の人間にはまねできないわ。,
ふふ、牢屋にいて考える時間がたくさんあるからかしら。\n昔のこととか色々思い出して、つい話しちゃった。\nあんまり人にこういうこと話すことなかったのに。,
{主人公}くんって優しそうだから、\nついつい話しちゃうの。そういうところコノハちゃんに似てるのかも。\n教育のたまものなのかしら。,
え？なんで泥棒の用心棒なんてやっていたのかって？\n前も言ったけど、生活が立ち行かなかったからよ。,
もちろんコノハちゃんに頼ることだってできた。\nでも、わたしもうこれ以上あの子に迷惑をかけたくなかったの。,
ギルドに行って手続きするのは怖かったし、\n町で声かけられるのを待っていたら、\nすごく報酬のいいクエストを依頼されてね。これだって思ったわ。,
でも実はクエスト自体が盗賊の罠でね。\n依頼の場所で待ち伏せされてて、大ピンチ。,
薬の実験で眠り薬に耐性つけてなかったらやばかったなぁ。\nまあとにかくなんやかんやあって、\nカードで盗賊団を全員返り討ちにしたの。,
そしたらその盗賊団が「参りました！姐さんにこれからは従います！」\n「用心棒をしてくれればこれだけの金額を出します！」\nって言いだして。,
頼られるのがうれしくてつい受けちゃったわ。\n,
はぁ・・・。\n本さえあれば時間はいくらでもつぶせるけれど、\nごはんがおいしくないのが嫌な所ね。,
固くなったパンと冷めたおかず。\n孤児院で食べてたものよりひどいなんて。\n甘いものでも食べたいわ。,
あ～あ～、はやく出たーい。\n看守が女じゃなければ、適当に誘惑して\nさっさとこんな場所おさらばするのに・・・。ん？,
うわ、誰かと思えばわたしを守衛に突き出した男じゃない。\nあんたのせいでこっちは最悪よ、まったく。,
男なら男らしく、\nこのおっぱいとかお尻で気持ちよくなってればいいのに。\n何人かカモにしてきたけど鼻を伸ばさなかった男はあんたぐらいよ。,
（んー・・・？なんかめちゃくちゃおっぱい見てるわね。\nこいつ、鉄格子越しで安全だからって、油断してんのかな？）,
（わざとらしく揺らしてやったらどうなるかな？\nよいっしょっと❤）,
うう・・・❤❤,
（ぷっ❤わかりやす❤）,
ねー、そんなにわたしのおっぱい気になる？\nチンポおっきくなってるのこっからでも分かるんだけど❤,
牢屋越しに囚人のおっぱい見て勃起させるとか、\nいい趣味してんね。へんたーい❤\nくすくすくす❤,
へんたいのアンタにいいこと教えてあげよっか❤\nここの看守のヤツメはさ、\n決まった時間にいつも休憩を取るんだよね～。,
その時間にここに来れば、\nあんたにもっと「エロいこと」が待ってるかもよ❤,
あんたあのヤツメに信頼してもらってるんでしょ？\n休憩時間中でも入るぐらいできるよね～。,
ふふふ❤それじゃまた来るのを待ってるから。\nあ、そうそう、エロいことしてほしいなら「差し入れ」持ってきてね。\nんじゃまたねー❤,
