default
タイトルに戻る,Back to Title
またバトル中３回だけ、数枚の強力なカードの中から１枚生成して手札に加えることができます。,Also; three times per battle; one of several powerful cards can be generated and added to the hand.
主人公にイベントで付与された弱点を一時的に無効にできます。,You can temporarily disable the weakness granted by events to the protagonist.
無効にされるのはストーリー中に付与された弱点だけです。戦闘中に付与される状態異常は無効になりません。,Only weaknesses that were inflicted during the story will be disabled. Abnormalities inflicted during battle will not be disabled.
弱点を一時的に無効にする,Temporarily disable weaknesses.
弱点を有効にする,Enable Weaknesses.
主人公にイベントで付与された弱点をすべて解除します。,You can remove all weaknesses granted by events to the protagonist.
解除された弱点は元に戻せないのでご注意ください。,Please note that the weaknesses that are removed cannot be restored.
弱点をすべて解除する,Revert all weaknesses
しない,Never mind
本当にいいですか？,Are you really sure?
はい,Yes
いいえ,No
主人公に付与された弱点をすべてリセットしました。,All weaknesses granted to the protagonist were reset.
主人公の攻撃力が低下している場合、攻撃力を1000に戻すことができます。,If the hero's attack power is reduced; the attack power can be restored to 1000.
攻撃力を1000に戻す,Attack power restored to 1000.
いまのままにする,leave as it is.
主人公の攻撃力が1000に設定されました。,The main character's attack power was set to 1000.
自動文字送りを設定できます。メッセージの表示が終わってから一定時間で次のセリフに進むようになります。,You can set automatic text progression. It takes a certain amount of time after the end of the message display to advance to the next line.
自動文字送りを有効にするか選んでください,Please select whether you want to enable automatic text feed.
無効にする, Disable
有効にする, Enable
文字送りが無効になりました。,Automatic Text Progression is now disabled.
文字送りが有効になりました。,Automatic Text Progression is now enabled.
BGMの音量を変更できます,The volume of the background music can be changed.
変更する, Change
変更しない,Do not change
BGMのボリュームが変更されました。,The background music volume has been changed.
SEの音量を変更できます。,The Sound Effect volume can be changed.
SEのボリュームが{&&InputtedText}に変更されました。,SE volume changed to {&&InputtedText}.
主人公のHPと攻撃力に一定の上限を設定できます。主に難易度を上げるために利用できる機能です。,You can set a certain limit to the LP and attack power of the main character. This function is mainly available to increase the difficulty level.
この機能を利用したとしてもバトル開始時のステータスが変更されるだけでレベルそのものに影響はありません。機能を解除することでいつでも本来のレベルのステータスに戻ることができます。,Using this function will only change the status at the beginning of the battle and will not affect the level itself. You can always return to your original level status by deactivating the function.
能力制限を入れるか選んでください,Please choose whether to activate ability restrictions.
制限をしない,No restriction
HP6000/Atk1000,
HP8000/Atk1300,
能力制限をしないモードになりました。HPと攻撃力はレベルによって決まります。,The mode is now one that does not limit abilities; HP and attack power are determined by the level of the player.
主人公の能力上限をHP6000,The main character's ability limit is now 6000 LP.
主人公の能力上限をHP8000,The main character's ability limit is now 8000 LP.
カード効果欄に「おっぱいに弱い付与」などの能力を記載するかどうか選択できます。,You can choose whether or not to list abilities such as “Grants weakness to boobs” in the card effect column.
エロ系効果も表示する,Display Erotic effects.
エロ系効果は秘匿状態にする,Hide Erotic effects.
エロ系効果もカードテキストに表示されるようになりました。,Erotic effects are now visible in the card text.
エロ系効果はカードテキスト上で秘匿されるようになりました。,Erotic effects are now not visible on the card text.
ショップ画面で、パック内の未所持のカードも表示されるか設定できます（デフォルトでは非表示）。,On the store screen, you can set whether the unclaimed cards in the pack are also displayed (hidden by default).
未所持カードも表示する,Display unclaimed cards.
未所持カードは秘匿状態にする,Keep unclaimed cards secret.
未所持カードも含めてショップ画面から閲覧できるようになりました。,Cards; including those not yet owned; can now be viewed from the store screen.
未所持カードはショップ画面では非表示になるように設定されました。,Unowned cards are now set to be hidden on the store screen.
主人公の名前を変更できます。,You can change the name of the main character.
名前を変更しますか？,Do you want to change your name?
主人公の名前を{主人公}に変更しました。,Changed the name of the protagonist to {主人公}.
主人公の見た目を変更できます。,You can change the appearance of the main character.
見た目を変更しますか？,Do you want to change the appearance?
主人公の見た目を選択してください。,Select the appearance of the protagonist.
主人公の見た目が決定されました。この内容はいつでも変更できます。,The appearance of the main character has been determined. This can be changed at any time.
文字が表示されるときの音をミュートにできます。,You can mute the sound when text is displayed.
文字音1（デフォルト）,Text Sound 1 (default)
音をなくす,Mute
文字音を１に設定しました。, Text sound set to 1.
文字音を無音に設定しました。,Text sound set to Mute.
文字音を2に設定しました。,Text sound set to 2.
文字音を3に設定しました。,Text sound set to 3.
文字音を4に設定しました。,Text sound set to 4.
主人公の情報,Main Character Information
{プレイヤー情報},
